ID;CHEQUEESPECIAL;HISTORICO_CREDITO;RESIDENCIA;Pagador
610;sem cheque;existente e pago;gratuitamente;bom
611;<0;existente e pago;própria;ruim
612;>=200;existente e pago;gratuitamente;ruim
613;<0;existente e pago;própria;bom
614;<0;todos pagos;alugada;bom
615;sem cheque;atrasos anteriores;própria;ruim
616;0<=X<200;sem créditos/todos pagos;própria;bom
617;0<=X<200;atrasos anteriores;gratuitamente;bom
618;<0;crítica / outros de crédito existente;alugada;bom
619;0<=X<200;existente e pago;alugada;ruim
620;sem cheque;existente e pago;própria;bom
621;0<=X<200;crítica / outros de crédito existente;própria;bom
622;sem cheque;crítica / outros de crédito existente;própria;ruim
623;sem cheque;existente e pago;própria;ruim
624;<0;existente e pago;alugada;bom
625;<0;existente e pago;gratuitamente;ruim
626;sem cheque;existente e pago;própria;bom
627;>=200;existente e pago;própria;bom
628;0<=X<200;todos pagos;própria;ruim
629;sem cheque;crítica / outros de crédito existente;própria;bom
630;sem cheque;existente e pago;própria;bom
631;<0;existente e pago;própria;bom
632;<0;todos pagos;própria;ruim
633;0<=X<200;existente e pago;própria;bom
634;sem cheque;existente e pago;alugada;ruim
635;0<=X<200;existente e pago;própria;ruim
636;sem cheque;existente e pago;própria;bom
637;sem cheque;existente e pago;própria;bom
638;sem cheque;atrasos anteriores;própria;bom
639;sem cheque;existente e pago;própria;bom
640;<0;atrasos anteriores;própria;ruim
641;<0;existente e pago;própria;ruim
642;0<=X<200;existente e pago;própria;bom
643;sem cheque;existente e pago;própria;ruim
644;sem cheque;crítica / outros de crédito existente;própria;bom
645;<0;crítica / outros de crédito existente;própria;bom
646;sem cheque;atrasos anteriores;alugada;ruim
647;<0;sem créditos/todos pagos;própria;bom
648;sem cheque;existente e pago;própria;ruim
649;>=200;existente e pago;gratuitamente;ruim
650;<0;existente e pago;alugada;ruim
651;<0;existente e pago;gratuitamente;bom
652;0<=X<200;existente e pago;própria;ruim
653;<0;existente e pago;própria;ruim
654;0<=X<200;atrasos anteriores;própria;ruim
655;sem cheque;crítica / outros de crédito existente;própria;bom
656;<0;existente e pago;gratuitamente;bom
657;0<=X<200;existente e pago;própria;ruim
658;sem cheque;existente e pago;própria;bom
659;0<=X<200;sem créditos/todos pagos;própria;bom
660;0<=X<200;crítica / outros de crédito existente;própria;bom
661;>=200;existente e pago;alugada;bom
662;<0;existente e pago;própria;ruim
663;sem cheque;existente e pago;própria;bom
664;0<=X<200;atrasos anteriores;própria;bom
665;>=200;crítica / outros de crédito existente;própria;bom
666;sem cheque;crítica / outros de crédito existente;própria;bom
667;0<=X<200;todos pagos;própria;bom
668;sem cheque;todos pagos;própria;bom
669;<0;crítica / outros de crédito existente;alugada;ruim
670;>=200;crítica / outros de crédito existente;própria;bom
671;sem cheque;crítica / outros de crédito existente;própria;bom
672;sem cheque;existente e pago;própria;bom
673;sem cheque;existente e pago;própria;bom
674;sem cheque;crítica / outros de crédito existente;própria;bom
675;sem cheque;atrasos anteriores;própria;ruim
676;sem cheque;crítica / outros de crédito existente;alugada;bom
677;sem cheque;crítica / outros de crédito existente;própria;bom
678;0<=X<200;existente e pago;própria;ruim
679;<0;existente e pago;alugada;bom
680;sem cheque;existente e pago;própria;bom
681;sem cheque;existente e pago;própria;bom
682;sem cheque;existente e pago;gratuitamente;bom
683;sem cheque;atrasos anteriores;própria;bom
684;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
685;0<=X<200;atrasos anteriores;própria;bom
686;sem cheque;existente e pago;gratuitamente;bom
687;>=200;crítica / outros de crédito existente;própria;bom
688;0<=X<200;atrasos anteriores;gratuitamente;bom
689;sem cheque;existente e pago;própria;bom
690;<0;existente e pago;própria;bom
691;<0;crítica / outros de crédito existente;própria;bom
692;0<=X<200;existente e pago;própria;bom
693;0<=X<200;existente e pago;própria;bom
694;<0;crítica / outros de crédito existente;própria;bom
695;sem cheque;existente e pago;própria;bom
696;sem cheque;existente e pago;alugada;bom
697;0<=X<200;existente e pago;própria;bom
698;sem cheque;crítica / outros de crédito existente;própria;bom
699;sem cheque;crítica / outros de crédito existente;própria;bom
700;>=200;existente e pago;alugada;bom
701;sem cheque;existente e pago;alugada;ruim
702;<0;crítica / outros de crédito existente;gratuitamente;ruim
703;>=200;existente e pago;gratuitamente;bom
704;0<=X<200;atrasos anteriores;própria;bom
705;0<=X<200;existente e pago;própria;bom
706;sem cheque;existente e pago;gratuitamente;bom
707;0<=X<200;existente e pago;própria;ruim
708;0<=X<200;sem créditos/todos pagos;alugada;ruim
709;0<=X<200;existente e pago;própria;bom
710;0<=X<200;existente e pago;própria;bom
711;sem cheque;crítica / outros de crédito existente;própria;bom
712;<0;todos pagos;gratuitamente;ruim
713;sem cheque;existente e pago;própria;bom
714;<0;crítica / outros de crédito existente;própria;bom
715;0<=X<200;existente e pago;própria;ruim
716;sem cheque;crítica / outros de crédito existente;própria;bom
717;sem cheque;crítica / outros de crédito existente;própria;bom
718;sem cheque;existente e pago;gratuitamente;bom
719;>=200;crítica / outros de crédito existente;própria;bom
720;0<=X<200;sem créditos/todos pagos;própria;bom
721;>=200;sem créditos/todos pagos;própria;ruim
722;0<=X<200;todos pagos;alugada;ruim
723;<0;existente e pago;própria;ruim
724;0<=X<200;existente e pago;própria;bom
725;sem cheque;existente e pago;alugada;ruim
726;sem cheque;crítica / outros de crédito existente;própria;bom
727;sem cheque;crítica / outros de crédito existente;própria;bom
728;<0;existente e pago;alugada;ruim
729;0<=X<200;todos pagos;alugada;ruim
730;>=200;crítica / outros de crédito existente;própria;bom
731;0<=X<200;atrasos anteriores;própria;bom
732;<0;existente e pago;alugada;ruim
733;0<=X<200;existente e pago;própria;bom
734;sem cheque;existente e pago;alugada;bom
735;sem cheque;crítica / outros de crédito existente;própria;bom
736;0<=X<200;todos pagos;própria;bom
737;0<=X<200;existente e pago;alugada;ruim
738;<0;existente e pago;própria;bom
739;sem cheque;crítica / outros de crédito existente;própria;bom
740;0<=X<200;sem créditos/todos pagos;alugada;ruim
741;<0;todos pagos;própria;bom
742;0<=X<200;todos pagos;própria;bom
743;sem cheque;existente e pago;própria;bom
744;<0;todos pagos;própria;bom
745;<0;crítica / outros de crédito existente;própria;bom
746;<0;crítica / outros de crédito existente;própria;bom
747;<0;existente e pago;alugada;bom
748;<0;existente e pago;própria;ruim
749;sem cheque;existente e pago;própria;bom
750;sem cheque;existente e pago;própria;bom
751;<0;existente e pago;própria;bom
752;<0;existente e pago;própria;ruim
753;0<=X<200;existente e pago;alugada;bom
754;sem cheque;crítica / outros de crédito existente;própria;bom
755;sem cheque;atrasos anteriores;gratuitamente;ruim
756;<0;existente e pago;alugada;ruim
757;>=200;crítica / outros de crédito existente;própria;bom
758;>=200;crítica / outros de crédito existente;gratuitamente;ruim
759;sem cheque;existente e pago;própria;bom
760;<0;crítica / outros de crédito existente;própria;ruim
761;sem cheque;crítica / outros de crédito existente;própria;bom
762;<0;crítica / outros de crédito existente;alugada;ruim
763;<0;existente e pago;própria;bom
764;sem cheque;crítica / outros de crédito existente;gratuitamente;ruim
765;sem cheque;crítica / outros de crédito existente;própria;bom
766;0<=X<200;existente e pago;própria;bom
767;<0;existente e pago;própria;ruim
768;sem cheque;existente e pago;alugada;bom
769;0<=X<200;crítica / outros de crédito existente;alugada;bom
770;sem cheque;crítica / outros de crédito existente;própria;bom
771;<0;existente e pago;alugada;bom
772;<0;crítica / outros de crédito existente;própria;ruim
773;sem cheque;crítica / outros de crédito existente;própria;bom
774;sem cheque;crítica / outros de crédito existente;própria;bom
775;>=200;crítica / outros de crédito existente;gratuitamente;bom
776;<0;existente e pago;alugada;ruim
777;sem cheque;crítica / outros de crédito existente;própria;bom
778;<0;existente e pago;própria;bom
779;sem cheque;crítica / outros de crédito existente;própria;bom
780;0<=X<200;existente e pago;própria;bom
781;0<=X<200;crítica / outros de crédito existente;própria;ruim
782;sem cheque;crítica / outros de crédito existente;própria;bom
783;0<=X<200;sem créditos/todos pagos;própria;bom
784;0<=X<200;existente e pago;própria;ruim
785;0<=X<200;existente e pago;própria;bom
786;0<=X<200;existente e pago;própria;bom
787;sem cheque;existente e pago;própria;bom
788;sem cheque;crítica / outros de crédito existente;própria;bom
789;0<=X<200;atrasos anteriores;gratuitamente;ruim
790;<0;crítica / outros de crédito existente;própria;ruim
791;0<=X<200;existente e pago;própria;ruim
792;sem cheque;existente e pago;própria;bom
793;sem cheque;crítica / outros de crédito existente;própria;bom
794;>=200;existente e pago;gratuitamente;bom
795;sem cheque;existente e pago;alugada;bom
796;sem cheque;existente e pago;alugada;bom
797;<0;existente e pago;gratuitamente;ruim
798;sem cheque;crítica / outros de crédito existente;alugada;bom
799;sem cheque;atrasos anteriores;própria;bom
800;0<=X<200;existente e pago;própria;bom
801;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
802;0<=X<200;crítica / outros de crédito existente;alugada;bom
803;<0;crítica / outros de crédito existente;própria;bom
804;sem cheque;crítica / outros de crédito existente;própria;bom
805;0<=X<200;existente e pago;alugada;bom
806;<0;existente e pago;própria;ruim
807;0<=X<200;existente e pago;própria;bom
808;sem cheque;crítica / outros de crédito existente;própria;bom
809;0<=X<200;todos pagos;gratuitamente;bom
810;0<=X<200;sem créditos/todos pagos;alugada;ruim
811;0<=X<200;existente e pago;própria;bom
812;0<=X<200;existente e pago;própria;bom
813;<0;crítica / outros de crédito existente;própria;ruim
814;<0;existente e pago;própria;ruim
815;<0;existente e pago;gratuitamente;ruim
816;0<=X<200;atrasos anteriores;alugada;bom
817;sem cheque;existente e pago;própria;bom
818;sem cheque;crítica / outros de crédito existente;alugada;bom
819;<0;existente e pago;própria;bom
820;<0;existente e pago;própria;ruim
821;sem cheque;existente e pago;própria;bom
822;>=200;existente e pago;própria;bom
823;<0;existente e pago;própria;ruim
824;<0;crítica / outros de crédito existente;própria;bom
825;sem cheque;crítica / outros de crédito existente;própria;bom
826;<0;crítica / outros de crédito existente;própria;bom
827;<0;crítica / outros de crédito existente;alugada;ruim
828;sem cheque;sem créditos/todos pagos;própria;ruim
829;<0;existente e pago;gratuitamente;ruim
830;0<=X<200;atrasos anteriores;gratuitamente;bom
831;sem cheque;atrasos anteriores;própria;bom
832;<0;existente e pago;alugada;ruim
833;<0;sem créditos/todos pagos;alugada;ruim
834;0<=X<200;existente e pago;própria;bom
835;>=200;existente e pago;própria;ruim
836;<0;sem créditos/todos pagos;própria;ruim
837;sem cheque;existente e pago;própria;bom
838;sem cheque;existente e pago;alugada;bom
839;<0;crítica / outros de crédito existente;própria;bom
840;sem cheque;crítica / outros de crédito existente;própria;bom
841;<0;existente e pago;própria;ruim
842;sem cheque;atrasos anteriores;própria;bom
843;sem cheque;existente e pago;própria;ruim
844;sem cheque;todos pagos;própria;bom
845;sem cheque;existente e pago;própria;bom
846;0<=X<200;existente e pago;própria;bom
847;sem cheque;existente e pago;alugada;ruim
848;sem cheque;existente e pago;própria;bom
849;<0;existente e pago;própria;bom
850;<0;existente e pago;própria;ruim
851;<0;crítica / outros de crédito existente;alugada;ruim
852;sem cheque;crítica / outros de crédito existente;própria;bom
853;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
854;<0;todos pagos;gratuitamente;ruim
855;sem cheque;atrasos anteriores;própria;bom
856;sem cheque;existente e pago;própria;bom
857;sem cheque;existente e pago;própria;bom
858;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
859;<0;existente e pago;própria;ruim
860;sem cheque;existente e pago;alugada;bom
861;sem cheque;crítica / outros de crédito existente;própria;bom
862;sem cheque;atrasos anteriores;própria;ruim
863;<0;existente e pago;própria;ruim
864;sem cheque;crítica / outros de crédito existente;própria;bom
865;sem cheque;existente e pago;alugada;ruim
866;sem cheque;existente e pago;alugada;bom
867;<0;existente e pago;própria;bom
868;sem cheque;crítica / outros de crédito existente;própria;bom
869;sem cheque;existente e pago;própria;bom
870;<0;existente e pago;alugada;bom
871;sem cheque;atrasos anteriores;própria;bom
872;>=200;crítica / outros de crédito existente;própria;bom
873;<0;crítica / outros de crédito existente;própria;bom
874;sem cheque;existente e pago;própria;bom
875;<0;existente e pago;própria;bom
876;0<=X<200;crítica / outros de crédito existente;própria;bom
877;<0;todos pagos;gratuitamente;bom
878;sem cheque;existente e pago;própria;bom
879;<0;existente e pago;gratuitamente;ruim
880;sem cheque;crítica / outros de crédito existente;própria;bom
881;sem cheque;existente e pago;própria;bom
882;sem cheque;existente e pago;gratuitamente;bom
883;0<=X<200;crítica / outros de crédito existente;própria;bom
884;sem cheque;crítica / outros de crédito existente;própria;bom
885;0<=X<200;existente e pago;própria;ruim
886;<0;existente e pago;própria;ruim
887;0<=X<200;crítica / outros de crédito existente;própria;bom
888;0<=X<200;existente e pago;própria;ruim
889;sem cheque;crítica / outros de crédito existente;própria;bom
890;sem cheque;todos pagos;alugada;bom
891;<0;crítica / outros de crédito existente;própria;bom
892;sem cheque;crítica / outros de crédito existente;própria;bom
893;<0;crítica / outros de crédito existente;própria;bom
894;0<=X<200;crítica / outros de crédito existente;própria;bom
895;sem cheque;crítica / outros de crédito existente;própria;bom
896;sem cheque;atrasos anteriores;própria;bom
897;<0;existente e pago;alugada;bom
898;sem cheque;crítica / outros de crédito existente;própria;bom
899;sem cheque;existente e pago;alugada;bom
900;<0;existente e pago;própria;ruim
901;<0;crítica / outros de crédito existente;alugada;ruim
902;sem cheque;crítica / outros de crédito existente;própria;bom
903;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
904;sem cheque;existente e pago;alugada;bom
905;sem cheque;existente e pago;própria;bom
906;<0;existente e pago;alugada;bom
907;<0;existente e pago;própria;bom
908;0<=X<200;existente e pago;própria;bom
909;sem cheque;atrasos anteriores;própria;bom
910;0<=X<200;existente e pago;própria;bom
911;sem cheque;atrasos anteriores;própria;bom
912;0<=X<200;crítica / outros de crédito existente;própria;ruim
913;0<=X<200;existente e pago;própria;bom
914;sem cheque;existente e pago;própria;bom
915;<0;todos pagos;alugada;ruim
916;0<=X<200;sem créditos/todos pagos;própria;ruim
917;sem cheque;existente e pago;própria;bom
918;<0;existente e pago;própria;ruim
919;<0;existente e pago;própria;ruim
920;<0;existente e pago;alugada;ruim
921;sem cheque;crítica / outros de crédito existente;própria;bom
922;sem cheque;atrasos anteriores;própria;bom
923;<0;existente e pago;alugada;ruim
924;0<=X<200;existente e pago;alugada;bom
925;<0;todos pagos;própria;ruim
926;<0;todos pagos;própria;ruim
927;<0;crítica / outros de crédito existente;alugada;bom
928;<0;existente e pago;gratuitamente;ruim
929;sem cheque;existente e pago;própria;bom
930;<0;atrasos anteriores;própria;bom
931;<0;existente e pago;própria;bom
932;0<=X<200;existente e pago;própria;ruim
933;sem cheque;crítica / outros de crédito existente;própria;bom
934;sem cheque;crítica / outros de crédito existente;própria;bom
935;<0;existente e pago;própria;bom
936;0<=X<200;atrasos anteriores;própria;ruim
937;>=200;existente e pago;própria;ruim
938;0<=X<200;existente e pago;alugada;bom
939;0<=X<200;existente e pago;gratuitamente;ruim
940;sem cheque;crítica / outros de crédito existente;própria;bom
941;sem cheque;existente e pago;própria;bom
942;sem cheque;existente e pago;própria;bom
943;sem cheque;existente e pago;própria;bom
944;sem cheque;crítica / outros de crédito existente;própria;bom
945;<0;existente e pago;alugada;bom
946;0<=X<200;sem créditos/todos pagos;própria;bom
947;<0;todos pagos;gratuitamente;ruim
948;sem cheque;existente e pago;própria;bom
949;sem cheque;existente e pago;própria;ruim
950;sem cheque;existente e pago;própria;ruim
951;0<=X<200;crítica / outros de crédito existente;própria;bom
952;<0;atrasos anteriores;própria;ruim
953;0<=X<200;existente e pago;alugada;ruim
954;sem cheque;existente e pago;própria;ruim
955;<0;existente e pago;própria;bom
956;<0;crítica / outros de crédito existente;alugada;bom
957;>=200;crítica / outros de crédito existente;própria;bom
958;0<=X<200;crítica / outros de crédito existente;própria;bom
959;<0;existente e pago;própria;ruim
960;0<=X<200;existente e pago;gratuitamente;bom
961;sem cheque;crítica / outros de crédito existente;alugada;bom
962;0<=X<200;atrasos anteriores;própria;bom
963;sem cheque;existente e pago;própria;bom
964;sem cheque;existente e pago;própria;ruim
965;0<=X<200;existente e pago;própria;bom
966;0<=X<200;existente e pago;própria;bom
967;0<=X<200;crítica / outros de crédito existente;própria;ruim
968;sem cheque;existente e pago;alugada;bom
969;sem cheque;existente e pago;alugada;bom
970;<0;crítica / outros de crédito existente;própria;bom
971;0<=X<200;existente e pago;própria;bom
972;sem cheque;existente e pago;própria;bom
973;<0;todos pagos;alugada;ruim
974;<0;existente e pago;alugada;ruim
975;sem cheque;crítica / outros de crédito existente;própria;bom
976;>=200;existente e pago;própria;bom
977;0<=X<200;existente e pago;própria;bom
978;0<=X<200;atrasos anteriores;própria;bom
979;sem cheque;atrasos anteriores;própria;ruim
980;0<=X<200;todos pagos;alugada;ruim
981;0<=X<200;crítica / outros de crédito existente;própria;ruim
982;sem cheque;existente e pago;alugada;ruim
983;>=200;existente e pago;própria;bom
984;<0;existente e pago;própria;ruim
985;sem cheque;crítica / outros de crédito existente;própria;bom
986;<0;crítica / outros de crédito existente;alugada;bom
987;>=200;sem créditos/todos pagos;própria;bom
988;sem cheque;existente e pago;própria;bom
989;<0;existente e pago;gratuitamente;bom
990;0<=X<200;crítica / outros de crédito existente;própria;bom
991;sem cheque;crítica / outros de crédito existente;própria;bom
992;sem cheque;todos pagos;própria;bom
993;<0;existente e pago;alugada;bom
994;<0;existente e pago;própria;bom
995;sem cheque;existente e pago;própria;bom
996;sem cheque;existente e pago;própria;bom
997;<0;existente e pago;própria;bom
998;sem cheque;existente e pago;própria;bom
999;<0;existente e pago;gratuitamente;ruim
1000;0<=X<200;crítica / outros de crédito existente;própria;bom
